600;950;0
520;920;1
540;920;1
560;920;1
580;920;1
600;920;1
620;920;1
640;920;1
360;130;1
400;130;1
420;130;1
380;130;1
440;130;1
240;230;1
220;230;1
200;230;1
160;300;1
180;300;1
500;200;5
640;250;1
620;250;1
600;250;1
580;250;1
620;350;1
100;400;1
120;400;1
170;480;5
700;450;5
720;450;5
280;460;1
300;460;1
320;460;1
340;460;1
200;560;1
180;560;1
260;640;1
280;640;1
300;640;1
400;720;1
420;720;1
440;720;1
480;800;1
500;800;1
520;800;1
440;520;1
460;520;1
520;560;1
540;560;1
560;560;1
580;560;1
600;560;1
700;650;1
720;650;1
740;650;1
640;750;1
620;750;1
600;750;1
700;840;1
720;840;1
500;40;5
520;40;5
540;40;5
560;40;5
520;60;5
540;60;5
560;60;5
540;80;5
560;80;5
560;100;5
