390;950;0
360;980;1
360;960;1
360;940;1
360;920;1
380;920;1
400;920;1
420;920;1
440;920;1
440;940;1
440;960;1
440;980;1
360;120;1
380;120;1
400;120;1
420;120;1
340;220;1
360;220;1
380;220;1
400;220;1
420;220;1
440;220;1
400;219;7
480;300;1
560;380;1
560;360;1
500;300;6
500;320;6
540;300;6
520;320;6
540;320;6
520;300;6
520;340;6
640;440;1
680;440;1
720;440;1
660;440;6
700;440;6
620;540;1
640;540;1
660;540;1
680;540;1
700;540;1
720;540;1
720;539;7
740;540;1
600;600;1
540;600;1
540;620;1
540;640;1
480;640;1
480;660;1
400;660;1
400;680;1
380;680;6
360;680;6
340;680;6
460;660;6
440;660;6
420;660;6
520;640;6
500;640;6
580;600;6
560;600;6
40;760;1
60;760;1
80;760;1
20;860;1
40;860;1
60;860;1
80;860;1
80;859;7
100;860;1
120;860;1
100;760;1
140;860;1
180;760;1
180;780;1
160;860;1
180;820;1
180;800;1
160;760;1
140;760;1
120;759;7
20;760;11
120;760;1
200;660;1
180;660;1
160;660;1
140;660;1
120;660;1
100;660;1
80;660;1
20;660;1
40;660;1
60;660;1
20;760;1
180;840;1
180;860;1
560;340;1
560;300;1
560;320;1
540;340;6
540;360;6
320;680;1
220;920;1
240;940;1
240;920;1
260;920;1
260;940;1
260;960;1
280;920;1
280;940;1
280;960;1
280;980;1
0;860;1
0;760;1
0;660;1
220;660;1
300;55;12
