260;1010;0
180;980;1
200;980;1
220;980;1
240;980;1
260;980;1
280;980;1
300;980;1
320;980;1
340;980;1
680;100;1
700;100;1
660;100;1
680;200;1
660;200;1
700;200;1
680;199;7
600;280;1
540;280;1
520;280;1
460;280;1
440;280;1
380;280;1
360;280;1
360;305;11
300;280;1
280;280;1
240;280;6
260;280;6
560;305;11
320;280;6
340;280;6
420;280;6
400;280;6
500;280;6
480;280;6
580;280;6
560;280;6
220;280;1
160;360;1
140;360;1
120;360;1
100;360;1
80;360;1
80;460;6
160;460;6
100;460;1
120;460;1
140;460;1
120;459;7
220;540;1
400;620;1
340;620;1
360;620;6
380;620;6
240;540;6
260;540;6
280;540;1
480;700;1
560;760;1
620;820;1
680;820;1
700;820;1
720;820;1
740;820;1
700;920;1
720;920;1
680;920;6
740;920;6
560;940;1
460;960;1
200;55;12
300;46;11
